url_canonical,domain,counts,sample_thread_ids,sample_urls,first_seen_iso,last_seen_iso
https://uncagedclinician.com/schedule,uncagedclinician.com,6,thread_1719058842198674|thread_1676291473142078|thread_1670609387043620|thread_1665112787593280|thread_1660169954754230,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1719058842198674/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1676291473142078/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1670609387043620/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1665112787593280/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1660169954754230/,2025-01-15T16:35:58Z,2025-04-16T16:40:37Z
https://www.conciergephysicaltherapists.com/join-our-team,conciergephysicaltherapists.com,4,thread_1920395575398332|thread_1912904286147461|thread_1912904286147461|thread_1403003730470855,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1920395575398332/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1912904286147461/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1912904286147461/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1403003730470855/,2024-01-30T14:16:09Z,2025-12-12T02:26:31Z
https://bit.ly/41XnD07,bit.ly,4,thread_1238854410219122|thread_1237462210358342|thread_1237462210358342|thread_1235519043885992,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1238854410219122/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1237462210358342/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1237462210358342/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1235519043885992/,2023-05-05T15:08:22Z,2023-05-10T14:51:33Z
https://uncagedclinician.com/,uncagedclinician.com,3,thread_1677124623058763|thread_1665112787593280|thread_1655128878591671,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1677124623058763/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1665112787593280/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1655128878591671/,2025-01-29T16:27:41Z,2025-02-27T15:52:44Z
https://samuelmerritt.az1.qualtrics.com/jfe/form/SV_djtgBvo56bSr0Bo,samuelmerritt.az1.qualtrics.com,3,thread_1188052261966004|thread_1167223557382208|thread_1167223557382208,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1188052261966004/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1167223557382208/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1167223557382208/,2023-01-25T22:46:06Z,2023-02-21T22:52:39Z
https://neupttech.com/hrv,neupttech.com,2,thread_1839851473452743|thread_1839851473452743,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1839851473452743/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1839851473452743/,2025-09-11T17:37:45Z,2025-09-11T17:37:45Z
https://uncagedclinician.com/launchpad,uncagedclinician.com,2,thread_1694228108015081|thread_1656628398441719,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1694228108015081/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1656628398441719/,2025-01-31T17:52:27Z,2025-03-20T14:19:49Z
https://www.uncagedclinician.com/post/tips-for-aspiring-business-owner,uncagedclinician.com,2,thread_1644242939680265|thread_1643384043099488,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1644242939680265/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1643384043099488/,2025-01-13T16:09:24Z,2025-01-14T18:47:20Z
https://podcasts.apple.com/us/podcast/kickstart-2025-define-your-why-and-propel-your/id1419165668?i=1000682306603,podcasts.apple.com,2,thread_1641305369974022|thread_1639914946779731,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1641305369974022/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1639914946779731/,2025-01-08T20:59:12Z,2025-01-10T18:26:28Z
https://adaptiveequipmentcorner.com/family-caregivers/,adaptiveequipmentcorner.com,2,thread_1575815429856350|thread_1574998999937993,https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1575815429856350/|https://www.facebook.com/groups/uncagedcliniciangroup/permalink/1574998999937993/,2024-10-12T14:59:23Z,2024-10-13T15:01:14Z
